DataHora ; Protocolo ; IP_Origem ; Porta_Origem ; IP_Destino ; Porta_Destino ; Tamanho
DataHora ; Protocolo ; IP_Origem ; Porta_Origem ; IP_Destino ; Porta_Destino ; Tamanho
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:27 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:27 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
2025-06-18 20:03:28 ; UDP ; 172.31.66.101 ; 38013 ; 8.8.8.8 ; 5001 ; 1502
2025-06-18 20:03:28 ; UDP ; 192.168.5.15 ; 12337 ; 8.8.8.8 ; 12851 ; 84
